FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	78	601	481	www.xxx.com
1	78	239	418	478	www.xxx.com
2	318	817	536	450	www.xxx.com
3	1135	140	538	346	www.xxx.com
4	1274	498	669	189	www.yyy.com
5	1773	160	487	164	www.yyy.com
6	2092	100	473	182	www.yyy.com
7	2192	219	264	142	www.yyy.com
8	2411	179	643	200	www.yyy.com
9	2590	159	686	205	www.zzz.com
10	2750	559	502	768	www.zzz.com
11	3308	179	406	607     www.zzz.com
12	3487	219	374	285     www.zzz.com
13	3707	439	486	183     www.zzz.com
14	4145	199	265	132     www.zzz.com
15	4345	159	717	288	www.xyz.com
16	4504	279	868	520	www.xyz.com
17	4783	299	669	595	www.xyz.com
18	5082	179	625	582	www.xyz.com
19	5262	199	371	579	www.xyz.com
20	5461	478	481	177	www.xyz.com
